"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	65	NA	"1969"	"Restos fsiles de mamferos de Tlapacoya, Estado de Mxico (Pleistoceno-Reciente)"	NA	"Contributions in Mammalogy. A Volumen Honoring Professor E. Raymond Hall. Miscellaneus Publications"	0	NA	"93-112"	NA	"Contributions in Mammalogy. A Volumen Honoring Professor E. Raymond Hall. Miscellaneus Publications"	"University of Kansas Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	66	NA	"1990"	"Adenda a la descripcin de Mormosa lorenzoi del Pleistoceno de Mxico"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	3	NA	"137-137"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	67	NA	"1981"	"The Plio-Pleistocene hyaena Chasmaporthetes ossifragus from Florida"	NA	"Journal of Vertebrate Paleontology"	1	NA	"341-356"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	68	NA	"1994"	"Estudio de los restos de Neotoma (Rodentia: Cricetidae) del Pleistoceno-Holoceno de Tlapacoya, Estado de Mxico, Mxico, con descripcin de dos nuevos taxa"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	7	NA	"1-11"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	69	NA	"1965"	"The Pleistocene horse, Equus conversidens"	NA	"The American Midland Naturalist"	74	NA	"408-417"	NA	"The American Midland Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	70	NA	"1980"	"El registro de mamferos terrestres del Mesozoico y Cenozoico de Baja California"	NA	"Revista del Instituto de Geologa"	4	NA	"56-62"	NA	"Revista del Instituto de Geologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	71	NA	"1947"	"Report on a collection of mammal bones from archaeologic cave-sites in Coahuila, Mexico"	NA	"Journal of Mammalogy"	28	NA	"147-165"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	72	NA	"1984"	"Late Cenozoic mammals from central Mexico"	NA	"Journal of Vertebrate Paleontology"	4	NA	"216-236"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	73	NA	"1983"	"Pitymys meadensis Hibbard from the Valley of Mexico and the classification of North American species of Pytymys (Rodentia: Cricetidae)"	NA	"Journal of Vertebrate Paleontology"	2	NA	"471-482"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	74	NA	"1987"	"El material de Proboscidea alojado en el Museo del Instituto de Geologa: una evaluacin"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	1	NA	"300-312"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	75	NA	"1995"	"Eremotherium laurillardi: the panamerican Late Pleistocene megatheriid sloth"	NA	"Journal of Vertebrate Paleontology"	15	NA	"830-841"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	76	NA	"1955"	"Nuevos hallazgos de antilocpridos en el Pleistoceno superior de Tequixquiac"	NA	"Acta Zoologica Mexicana"	1	NA	"1-7"	NA	"Acta Zoologica Mexicana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	77	NA	"1959"	"La fauna \"Cedazo\" del Pleistoceno en Aguascalientes"	NA	"Anales del Instituto de Biologa, Mxico"	0	NA	"409-452"	NA	"Anales del Instituto de Biologa, Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	78	NA	"1990"	"Una edad del Irvingtoniano al Rancholabreano para la fauna Cedazo del Estado de Aguascalientes."	NA	"Revista del Instituto de Geologa"	9	NA	"195-203"	NA	"Revista del Instituto de Geologa"	"Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	79	NA	"1986"	"Descripcin de un milodntido del Blancano temprano de la Mesa Central de Mxico"	NA	"Revista del Instituto de Geologa"	6	NA	"193-203"	NA	"Revista del Instituto de Geologa"	"Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	80	NA	"1994"	"Revisin de los quidos de la fauna Cedazo del Pleistoceno de Aguascalientes, Mxico"	NA	"Revista Mexicana de Ciencias Geolgicas"	11	NA	"87-105"	NA	"Revista Mexicana de Ciencias Geolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	81	NA	"1967"	"La etapa ltica en Mxico"	NA	"Publicaciones del Departamento de Prehistoria"	0	NA	"1-49"	NA	"Publicaciones del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	82	NA	"1948"	"Exploring northern Mexico's fossil deposits"	NA	"El Palacio"	55	NA	"177-182"	NA	"El Palacio"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	83	NA	"1988"	"New records of the small leporid Aztlanolagus agilis Rusell y Harris (Leporidae: Leporinae)"	NA	"The Southwestern Naturalist"	33	NA	"391-396"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	84	NA	"1969"	"Comments on the associations of archaeological materials and extinct fauna in the Valsequillo region, Puebla, Mexico"	NA	"American Antiquity"	34	NA	"82-83"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	85	NA	"1981"	"Zohapilco: cinco milenios de ocupacin humana en un sitio lacustre de la Cuenca de Mxico"	NA	"American Antiquity"	46	NA	"951-953"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	86	NA	"1995"	"Los tapires del Pleistoceno tardo en el noroeste de Mxico"	NA	"Sociedad Mexicana de Paleontologa, A.C."	0	NA	"2-3"	NA	"Sociedad Mexicana de Paleontologa, A.C."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	87	NA	"1965"	"The Pleistocene carved bone from Tequixquiac, Mexico: a reapraisal"	NA	"American Antiquity"	30	NA	"261-277"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	88	NA	"1975"	"A new species of camel (genus Camelops) from the Pleistocene of Aguascalientes, Mexico"	NA	"The Southwestern Naturalist"	19	NA	"341-345"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	89	NA	"1986"	"A Late Pleistocene-Holocene fauna from Chihuahua, Mexico"	NA	"The Southwestern Naturalist"	31	NA	"277-288"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	90	NA	"1954"	"The Pleistocene horse from San Josecito Cave, southern Nuevo Leon, Mexico"	NA	"Division of Geological Sciences California Institute of Technology"	0	NA	"1-15"	NA	"Division of Geological Sciences California Institute of Technology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	91	NA	"1971"	"A discriminant function analysis of osteological variance in the appendicular skeleton of selected Pleistocene carnivores from San Josecito Cave, Nuevo Leon, Mexico"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	92	NA	"1968"	"Variation in the Pleistocene equid Equus conversidens leoni"	NA	NA	0	NA	NA	NA	NA	"The Faculty of the Departament of Zoology California State College at Los Angeles"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	93	NA	"1982(1983)"	"Restos de mamferos recientes y pleistocnicos procedentes de las Grutas de Loltn, Yucatn, Mxico"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	0	NA	"7-35"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	94	NA	"1979"	"A preliminary investigation of the fauna of Cueva de la Zona de Derrumbes, a bockshelter in Nuevo Leon, Mexico"	NA	"Research in Vertebrate Paleontology"	0	NA	"1-32"	NA	"Research in Vertebrate Paleontology"	"The University of Texas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	95	NA	"1976"	"Restos seos de las excavaciones de Tlatilco Edo. de Mxico"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	0	NA	"3-18"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	96	NA	"1976"	"Restos seos rescatados del cenote sagrado de Chichen Itza, Yucatn"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	0	NA	"19-39"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	97	NA	"1963"	"Restos de mamferos encontrados en una cueva de Valle Nacional, Oaxaca, Mxico"	NA	"Rev. Biol. Trop."	11	NA	"57-61"	NA	"Rev. Biol. Trop."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	98	NA	"1966"	"Roedores fsiles del Pleistoceno de Tequesquinahua, Estado de Mxico, Mxico"	NA	"Acta Zoologica Mexicana"	8	NA	"1-16"	NA	"Acta Zoologica Mexicana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	99	NA	"1982"	"Restos pleistocnicos de dos especies de Microtus (Rodentia:Muridae), del norte de San Luis Potos, Mxico"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	26	NA	"47-53"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	"Instituto Politcnico Nacional"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	100	NA	"1971"	"Variacin de la figura oclusal del premolar inferior en carpinchos fsiles (Rodentia: Hydrochoeridae) de Jalisco, Mxico"	NA	"Serie Investigaciones del Instituto Nacional de Antropologa e Historia"	0	NA	"1-40"	NA	"Serie Investigaciones del Instituto Nacional de Antropologa e Historia"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	101	NA	"1972"	"Nuevo registro para el vampiro del Pleistoceno Desmodus stoki (sic) de Tlapacoya, Mxico"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	19	NA	"163-165"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	"Instituto Politcnico Nacional"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	102	NA	"1967"	"El Laboratorio de Paleozoologa"	NA	"Boletn"	0	NA	"43-47"	NA	"Boletn"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	103	NA	"1964"	"Nota sobre restos seos de mamferos del Reciente, encontrados cerca de Tepeapulco, Hidalgo, Mxico"	NA	"Instituto Nacional de Antropologa e Historia"	15	NA	"1-15"	NA	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	104	NA	"1983"	"Notas sobre algunos roedores fsiles del Pleistoceno en Mxico"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	27	NA	"149-163"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	"Instituto Politcnico Nacional"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	105	NA	"1970"	"Late Pleistocene mammals from a Cave in Tamaulipas, Mexico"	NA	"The Southwestern Naturalist"	15	NA	"217-230"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	106	NA	"1981"	"Glyptodonts of North America"	NA	"Smithsonian Contributions to Paleobiology"	0	NA	"1-255"	NA	"Smithsonian Contributions to Paleobiology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	107	NA	"1995"	"Postcranial skeletal analysis of the Pleistocene deer, Navahoceros fricki (Cervidae)"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	108	NA	"1993"	"The Pleistocene small carnivores of eastern Beringia"	NA	"The Canadian Field-Naturalist"	107	NA	"139-163"	NA	"The Canadian Field-Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	109	NA	"1991"	"Excavacin y rescate de restos fosilizados de vertebrados en el estado de Nuevo Len, Mxico"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	0	NA	"6-11"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	110	NA	"1967"	"New records of fossil marsupials from the Pleistocene of Mexico"	NA	"The Texas Journal of Science"	19	NA	NA	NA	"The Texas Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	111	NA	"1955"	"Pleistocene vertebrates from the Upper Becerra (Becerra Superior) Formation, Valley of Tequixquiac, Mxico, with notes on other Pleistocene forms"	NA	"Contributions from the Museum of Paleontology, University of Michigan"	12	NA	"47-96"	NA	"Contributions from the Museum of Paleontology, University of Michigan"	"University of Michigan"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	112	NA	"1954"	"Sobre un rinoceronte fsil de Sinaloa, Mxico"	NA	"Revista de la Sociedad Mexicana de Historia Natural"	15	NA	"141-146"	NA	"Revista de la Sociedad Mexicana de Historia Natural"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	113	NA	"1991"	"Preliminary report of the Pleistocene mammals of the Valley of the Axamilpa river, near Tepeji de Rodriguez, Puebla, Mxico"	NA	"Current Research in the Pleistocene"	8	NA	"99-102"	NA	"Current Research in the Pleistocene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	114	NA	"1985"	"Artificial phallus or fallacious artifact: a cautionary note"	NA	"Current Research in the Pleistocene"	2	NA	"67-68"	NA	"Current Research in the Pleistocene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	115	NA	"1991"	"Coleccin Paleontolgica de la Facultad de Ciencias Marinas, Ensenada, Baja California"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	0	NA	"25-27"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	116	NA	"1991"	"Coleccin Paleontolgica de la Subdireccin de Servicios Acadmicos, Instituto Nacional de Antropologa e Historia"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	0	NA	"55-57"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	117	NA	"1991"	"La Coleccin Paleontolgica de la Facultad de Ingeniera, UNAM"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	0	NA	"29-33"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	118	NA	"1991"	"Coleccin Paleozoolgica y Osteoteca del Instituto de Investigaciones Antropolgicas de la UNAM"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	0	NA	"62-65"	NA	"Memoria de la II Reunin Nacional de Colecciones Paleontolgicas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	119	NA	"1987"	"La Coleccin Paleontolgica del Depto. de Prehistoria"	NA	"Primera reunin Nacional de Encargados de Colleciones Paleontolgicas en docencia"	0	NA	NA	NA	"Primera reunin Nacional de Encargados de Colleciones Paleontolgicas en docencia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	120	NA	"1991"	"Restos seos de vertebrados terrestres de las ofrendas del Templo Mayor, ciudad de Mxico."	NA	"La fauna en el Templo Mayor"	0	NA	"105-147"	NA	"La fauna en el Templo Mayor"	"Asociacin de Amigos del Templo Mayor, Instituto Nacional de Antropologa e Historia y Garca y Valads editores, SA de CV"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	121	NA	"1977"	"Fauna local Laguna de la Media Luna, Pleistoceno Tardo, Municipio de Ro Verde, San Luis Potos, Mxico"	NA	NA	0	NA	NA	NA	NA	"Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	122	NA	"1986"	"La fauna arqueolgica de El Meco"	NA	"Excavaciones arqueolgicas en El Meco, Quintana Roo, 1977"	0	NA	"67-75"	NA	"Excavaciones arqueolgicas en El Meco, Quintana Roo, 1977"	"Coleccin Cientfica, Serie Arqueologa, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	123	NA	"1975"	"Pleistocene mammals from Aguascalientes, central Mxico"	NA	"Journal of Mammalogy"	56	NA	"781-820"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	124	NA	"1972"	"Synopsis of Late Pliocene and Pleistocene bats of North America and the Antilles"	NA	"The American Midland Naturalist"	87	NA	"326-335"	NA	"The American Midland Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	125	NA	"1985"	"The distribution and chronology of mammoth in the New World"	NA	"Acta Zoologica Fennica"	0	NA	"221-224"	NA	"Acta Zoologica Fennica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	126	NA	"1976"	"Identificacin de los huesos rescatados en la segunda temporada en Santa Marta, Chiapas (Cala HH/KK). in: Excavaciones en el abrigo de Santa Marta, Chis. (1974)."	NA	"Informes del Departamento de Prehistoria"	0	NA	"24-29"	NA	"Informes del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	127	NA	"1975"	"Restos seos animales de las Cuevas del Texcal y Tepeyolo, Puebla, Mxico"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	0	NA	"1-55"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	128	NA	"1976"	"Restos seos de la primera excavacin de Santa Marta Chiapas (Cala A/B). in: Excavaciones en el abrigo de Santa Marta, Chis (1974)."	NA	"Informes del Departamento de Prehistoria"	0	NA	"17-23"	NA	"Informes del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	129	NA	"1986"	"Fauna pleistocnica"	NA	"Tlapacoya: 35000 aos de historia del Lago de Chalco"	0	NA	"173-203"	NA	"Tlapacoya: 35000 aos de historia del Lago de Chalco"	"Coleccin Cientfica. serie Prehistoria, INAH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	130	NA	"1989"	"Variacin osteomtrica de marmosa (Didelphidae: Marsupialia) del Reciente y Pleistoceno de Yucatn, Mxico, con descipcin de una nueva especie. en: Homenaje a Jose Luis Lorenzo"	NA	"Coleccin Cientfica"	0	NA	"333-345"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	131	NA	"1990"	"Identificacin de los restos oseos procedentes de las excavaciones de Tonina, Chiapas"	NA	"Les Vestiges Zoologiques"	0	NA	"1832-1846"	NA	"Les Vestiges Zoologiques"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	132	NA	"1968"	"Estudios de los restos seos de Tepeapulco, Hidalgo. en: materiales para la Arqueologa de Teotihuacn."	NA	"Serie Investigaciones del Instituto Nacional de Antropologa e Historia"	0	NA	"75-90"	NA	"Serie Investigaciones del Instituto Nacional de Antropologa e Historia"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	133	NA	"1991"	"North American mammoths: an annotated bibliography 1940-1990"	NA	"The Mammoth Site of Hot Springs, South Dakota, Scientific Papers"	2	NA	"1-118"	NA	"The Mammoth Site of Hot Springs, South Dakota, Scientific Papers"	"The Mammoth Site of Hot Springs, South Dakota, Inc."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	134	NA	"1874"	"Mamfero fsil gigante"	NA	"El Minero Mexicano"	2	NA	"483-"	NA	"El Minero Mexicano"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	135	NA	"1964"	"Informe sobre un esqueleto de caballo (Equus caballus), que se encontr en la plaza de Las Tres Culturas en Tlatelolco, D.F."	NA	"Boletn (I Epoca)"	0	NA	"36-38"	NA	"Boletn (I Epoca)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	136	NA	"1946"	"Datos geolgicos sobre la antigedad del hombre en la Cuenca de Mxico"	NA	"Memoria del 2 Congreso Mexicano de Ciencias Sociales"	5	NA	"213-219"	NA	"Memoria del 2 Congreso Mexicano de Ciencias Sociales"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	137	NA	"1948"	"La cueva Encantada de Chimalacatlan, Morelos"	NA	"Boletn de la Sociedad Mexicana de Geografa y Estadstica"	66	NA	"483-491"	NA	"Boletn de la Sociedad Mexicana de Geografa y Estadstica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	138	NA	"1994"	"Taphonomy and paleoecology of San Josecito Cave, Nuevo Leon, Mexico"	NA	NA	0	NA	NA	NA	NA	"Graduade Faculty of Texas Tech University"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	139	NA	"1874"	"Sociedad de Geografa y Estadistica"	NA	"El Minero Mexicano"	2	NA	"566-567"	NA	"El Minero Mexicano"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	140	NA	"1990"	"Restos seos de mucilagos procedentes de las excavaciones de las Grutas de Loltn"	NA	"Coleccin Cientfica"	0	NA	"1-103"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	141	NA	"1956"	"The second mammoth and associated artifacts at Santa Isabel Iztapan, Mexico"	NA	"American Antiquity"	22	NA	"12-28"	NA	"American Antiquity"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	142	NA	"1964"	"El sacro de Tequixquiac"	NA	"Cuadernos del Museo Nacional del Antropologa"	0	NA	"9-44"	NA	"Cuadernos del Museo Nacional del Antropologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	143	NA	"1970"	"Informe parcial sobre los restos seos (no humanos) del proyecto Cholula, Puebla"	NA	"Serie Investigaciones del Instituto Nacional de Antropologa e Historia"	0	NA	"27-29"	NA	"Serie Investigaciones del Instituto Nacional de Antropologa e Historia"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	144	NA	"1886"	"Contestacin a las observaciones de la carta anterior"	NA	"La Naturaleza, primera serie"	7	NA	"286-288"	NA	"La Naturaleza, primera serie"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	145	NA	"1988"	"Quaternary evolution and biogeography of the large South American Canidae (Mammalia: Carnivora)"	NA	"University of California Publications in Geological Sciences"	132	NA	NA	NA	"University of California Publications in Geological Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	146	NA	"1963"	"Two doves in the Pleistocene of Veracruz, Mxico"	NA	"The Condor"	65	NA	"334-"	NA	"The Condor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	147	NA	"1978"	"Late Pleistocene adaptations: a new look at Early peopling of the new word as of 1976"	NA	"Journal of Antropological Research"	34	NA	"475-496"	NA	"Journal of Antropological Research"	"The University of New Mexico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	148	NA	"1972"	"Fauna fsil Pleistocnica en Jocotepec, Jalisco"	NA	"Boletn (II Epoca)"	0	NA	"37-44"	NA	"Boletn (II Epoca)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	149	NA	"1879"	"Adelantos de la Paleontologa y Geologa del Valle de Mxico"	NA	"El Minero Mexicano"	0	NA	"484-485"	NA	"El Minero Mexicano"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	150	NA	"1989"	"Mammalia"	NA	"Fsiles Tipo Mexicanos"	0	NA	"426-459"	NA	"Fsiles Tipo Mexicanos"	"Instituto de Geologa, Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	151	NA	"1982"	"Eremotherium laurillardi Lund, 1842. Parte I. Determinaao especfica e dimorfismo sexual"	NA	"Iheringia Sr Geol."	0	NA	"45-63"	NA	"Iheringia Sr Geol."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
